"","xMin","xMax","yMin","yMax","shotPercentage"
"600",-60,-50,290,300,20
"601",-50,-40,0,10,36.5079365079365
"602",-50,-40,10,20,37.3056994818653
"603",-50,-40,20,30,39.7321428571429
"604",-50,-40,30,40,39.3258426966292
"605",-50,-40,40,50,33.5664335664336
"606",-50,-40,50,60,36.144578313253
"607",-50,-40,60,70,34.4
"608",-50,-40,70,80,34.1463414634146
"609",-50,-40,80,90,39.8305084745763
"610",-50,-40,90,100,38.4615384615385
"611",-50,-40,100,110,40.9090909090909
"612",-50,-40,110,120,40.8
"613",-50,-40,120,130,33.3333333333333
"614",-50,-40,130,140,40.9836065573771
"615",-50,-40,140,150,36.5079365079365
"616",-50,-40,150,160,44.8979591836735
"617",-50,-40,160,170,44.3037974683544
"618",-50,-40,170,180,41.7721518987342
"619",-50,-40,180,190,33.7209302325581
"620",-50,-40,190,200,44.7619047619048
"621",-50,-40,200,210,40.2597402597403
"622",-50,-40,210,220,32.5
"623",-50,-40,220,230,26.3157894736842
"624",-50,-40,230,240,20
"625",-50,-40,240,250,43.7751004016064
"626",-50,-40,250,260,42.1221864951768
"627",-50,-40,260,270,35.7723577235772
"628",-50,-40,270,280,27.0833333333333
"629",-50,-40,280,290,35.2941176470588
"630",-50,-40,290,300,33.3333333333333
"631",-40,-30,0,10,39.8104265402844
"632",-40,-30,10,20,35.6962025316456
"633",-40,-30,20,30,30.8139534883721
"634",-40,-30,30,40,27.0588235294118
"635",-40,-30,40,50,34.8837209302326
"636",-40,-30,50,60,39.3034825870647
"637",-40,-30,60,70,40.2597402597403
"638",-40,-30,70,80,43.1372549019608
"639",-40,-30,80,90,47.3333333333333
"640",-40,-30,90,100,48.3333333333333
"641",-40,-30,100,110,34.6153846153846
"642",-40,-30,110,120,40.4494382022472
"643",-40,-30,120,130,46.5346534653465
"644",-40,-30,130,140,40.9836065573771
"645",-40,-30,140,150,44.4444444444444
"646",-40,-30,150,160,37.3493975903614
"647",-40,-30,160,170,31.8840579710145
"648",-40,-30,170,180,46.078431372549
"649",-40,-30,180,190,45.5357142857143
"650",-40,-30,190,200,34.0659340659341
"651",-40,-30,200,210,35.5555555555556
"652",-40,-30,210,220,40
"653",-40,-30,220,230,45.4545454545455
"654",-40,-30,230,240,30.7692307692308
"655",-40,-30,240,250,43.7837837837838
"656",-40,-30,250,260,37.8378378378378
"657",-40,-30,260,270,35.7142857142857
"658",-40,-30,270,280,33.9622641509434
"659",-40,-30,280,290,35.7142857142857
"660",-40,-30,290,300,25
"661",-30,-20,0,10,51.4093959731544
